dorsal,tipus,temps_pujada,temps_baixada
1,MEMB,3880,1955
2,BEBB,3450,1141
3,BEMB,3318,2197
4,MEMB,3987,2320
5,MEBB,4299,1740
6,BEMB,3365,2364
7,MEMB,4034,2004
8,MEBB,4260,1271
9,BEBB,3125,1826
10,BEBB,3461,1448
11,MEBB,4095,1251
12,MEMB,4156,2195
13,BEBB,3446,1511
14,BEBB,3401,1858
15,MEBB,4123,1317
16,BEMB,3488,2333
17,BEBB,2779,1417
18,BEBB,3139,1146
19,BEMB,3679,1964
20,BEBB,3422,1426
21,MEMB,4251,2686
22,BEMB,3269,1946
23,BEMB,3200,2437
24,BEBB,2929,1343
25,MEMB,4335,2287
26,BEMB,3616,2336
27,MEBB,4277,1129
28,BEBB,3370,1999
29,BEMB,3347,2544
30,MEMB,4535,2130
31,BEMB,3418,2022
32,BEBB,2882,1062
33,BEMB,3199,2184
34,BEBB,3503,1681
35,BEBB,2839,1829
36,BEBB,3763,1767
37,BEMB,3205,1967
38,MEMB,4345,2172
39,MEBB,4389,1623
40,MEMB,4228,2262
41,BEMB,2993,1983
42,MEBB,4434,1361
43,MEMB,4356,2044
44,BEMB,3356,1914
45,BEMB,3530,2375
46,MEBB,4277,1112
47,MEMB,3817,2410
48,BEMB,3348,2324
49,MEMB,4225,2043
50,BEMB,3331,1869
